Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
                0.00    0.00       2/52          testing::internal::UnitTestImpl::RunAllTests() [80]
                0.00    0.00       2/52          void testing::internal::HandleExceptionsInMethodIfSupported<testing::TestSuite, void>(testing::TestSuite*, void (testing::TestSuite::*)(), char const*) [64]
                0.00    0.00       3/52          testing::Test::HasFatalFailure() [40]
                0.00    0.00       3/52          testing::Test::IsSkipped() [42]
                0.00    0.00       3/52          testing::Test::HasSameFixtureClass() [41]
                0.00    0.00       3/52          testing::internal::MakeAndRegisterTestInfo(char const*, char const*, char const*, char const*, testing::internal::CodeLocation, void const*, void (*)(), void (*)(), testing::internal::TestFactoryBase*) [53]
                0.00    0.00       3/52          testing::Test* testing::internal::HandleExceptionsInMethodIfSupported<testing::internal::TestFactoryBase, testing::Test*>(testing::internal::TestFactoryBase*, testing::Test* (testing::internal::TestFactoryBase::*)(), char const*) [57]
                0.00    0.00       8/52          testing::TestInfo::Run() [75]
                0.00    0.00       9/52          testing::internal::ReportFailureInUnknownLocation(testing::TestPartResult::Type, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [56]
                0.00    0.00      12/52          void testing::internal::HandleExceptionsInMethodIfSupported<testing::Test, void>(testing::Test*, void (testing::Test::*)(), char const*) [19]
[11]     0.0    0.00    0.00      52         testing::UnitTest::GetInstance() [11]
                0.00    0.00       1/7           testing::internal::Mutex::Mutex() [22]
                0.00    0.00       1/1           testing::internal::UnitTestImpl::UnitTestImpl(testing::UnitTest*) [83]
-----------------------------------------------
                0.00    0.00       1/36          testing::TestInfo::Run() [75]
                0.00    0.00       3/36          testing::TestSuite::skipped_test_count() const [125]
                0.00    0.00       3/36          testing::Test::IsSkipped() [42]
                0.00    0.00       4/36          testing::TestResult::Skipped() const [34]
                0.00    0.00       5/36          testing::internal::PrettyUnitTestResultPrinter::OnTestIterationEnd(testing::UnitTest const&, int) [104]
                0.00    0.00       5/36          testing::internal::UnitTestImpl::RunAllTests() [80]
                0.00    0.00       6/36          testing::TestSuite::successful_test_count() const [126]
                0.00    0.00       9/36          testing::internal::PrettyUnitTestResultPrinter::OnTestEnd(testing::TestInfo const&) [55]
[12]     0.0    0.00    0.00      36         testing::TestResult::Failed() const [12]
-----------------------------------------------
                0.00    0.00       1/27          testing::internal::FilePath::GetCurrentDir() [118]
                0.00    0.00       1/27          testing::internal::UnitTestOptions::GetOutputFormat[abi:cxx11]() [93]
                0.00    0.00       1/27          testing::internal::ShouldUseColor(bool) [86]
                0.00    0.00       1/27          testing::internal::PrettyUnitTestResultPrinter::OnTestIterationStart(testing::UnitTest const&, int) [106]
                0.00    0.00       1/27          std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::vector(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&) [128]
